nazwa;autorzy;tekst na certyfikat;ankieta przed;wymagania instalacyjne
tworzenie-aplikacji-z-uzyciem-vuejs;tomasz-sulkowski, mateusz-kulesza;ok;brak;ok
tworzenie-aplikacji-z-wykorzystaniem-nestjs;piotr-blaszczak;brak;brak;ok
tworzenie-darmowych-gier;mateusz-kietlinski;brak;brak;brak
tworzenie-dynamicznych-map-na-stronach-internetowych-z-wykorzystaniem-openlayers;michal-srednicki;brak;brak;brak
tworzenie-gier-fps-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-fps-w-silniku-unreal-engine;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-na-platforme-android-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-top-down-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-vr-w-unreal-engine;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-w-wirtualnej-rzeczywistosci-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-wykorzystujacych-rozszerzona-rzeczywistosc-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-z-gatunku-hyper-casual-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-z-gatunku-side-scroller-w-silniku-unity;mateusz-kietlinski;brak;brak;ok
tworzenie-gier-z-wykorzystaniem-unity;mateusz-ostrowski;brak;brak;ok
tworzenie-i-ocena-specyfikacji-wymagan;karolina-zmitrowicz;brak;brak;brak
tworzenie-interfejsu-uzytkownika-w-grach-komputerowych;mateusz-kietlinski;brak;brak;ok
tworzenie-web-services-przy-uzyciu-windows-communication-foundation-framework;piotr-barankiewicz;brak;brak;ok
uczenie-maszynowe-w-jezyku-python;norbert-ryciak;ok;ok;ok
uczenie-maszynowe-z-r;piotr-szulc;ok;ok;ok
uml2-dla-analitykow;michal-podbielski;ok;brak;brak
uml2-dla-projektantow;michal-podbielski;ok;brak;brak
umowy-w-it-z-perspektywy-zamawiajacego;ewelina-ocipinska, lukasz-kulicki;brak;brak;brak
user-experience-projektowanie-satysfakcji-odbiorcy;lukasz-losin;brak;brak;ok
utrwalanie-danych-z-uzyciem-jpa-i-hibernate;lukasz-andrzejewski;ok;brak;brak
utrzymanie-jakosci-w-grach-komputerowych;mateusz-kietlinski;brak;brak;ok
vmware-nsx-install-configure-manage-v6.4;;brak;brak;brak
vmware-site-recovery-manager-icm-v6.1;;brak;brak;brak
vmware-vsan-deploy-and-manage;;brak;brak;brak
vmware-vsphere-fast-track-v6.7;;brak;brak;brak
vmware-vsphere-install-configure-manage-v6.7;;brak;brak;brak
vmware-vsphere-optimize-and-scale-plus-troubleshooting-fast-track-v6.7;;brak;brak;brak
vmware-vsphere-optimize-and-scale-v6.7;;brak;brak;brak
vmware-vsphere-skills-for-operators;;brak;brak;brak
vmware-vsphere-troubleshooting-workshop-v6.7;;brak;brak;brak
vmware-vsphere-whats-new-v5.5-to-v6.7;;brak;brak;brak
warstwa-prezentacji-z-uzyciem-javaserver-faces;marcin-dzierzak;ok;ok;ok
warsztat-analityka-danych-w-jezyku-python;jakub-nowacki;brak;brak;brak
warsztat-analityka-danych-w-r;maciej-bartoszuk;brak;brak;brak
web-components;tomasz-sulkowski;brak;brak;brak
web-development-z-symfony-3;jakub-lukasik;brak;brak;brak
wielowatkowosc-w-jezyku-java;michal-podbielski;ok;ok;ok
wizualizacja-danych-w-jezyku-python;patryk-pilarski;ok;ok;brak
wizualizacja-danych-w-r;agnieszka-jamer;brak;brak;brak
wprowadzenie-do-bezpieczenstwa-informacji;piotr-nazimek;brak;brak;brak
wprowadzenie-do-chmury-aws;michal-balinski;brak;brak;brak
wprowadzenie-do-gis-na-przykladzie-platformy-qgis;michal-srednicki;brak;brak;brak
wprowadzenie-do-jezyka-sql-i-bazy-postgresql;piotr-szmielew;brak;brak;brak
wprowadzenie-do-narzedzi-informatycznych-wspierajacych-zwinne-realizowanie-procesow-biznesowych-przedsiebiorstwa;jakub-koperwas;brak;brak;brak
wprowadzenie-do-repozytoriow-cyfrowych-i-systemow-klasy-ecm;jakub-koperwas;brak;brak;brak
wprowadzenie-do-soa;rafal-nowakowski;brak;brak;brak
wprowadzenie-do-unreal-engine;mateusz-kietlinski;brak;brak;ok
wprowadzenie-do-uslug-internet-of-things-na-platformie-microsoft-azure;daniel-krzyczkowski;brak;brak;ok
wstep-do-nosql;krzysztof-jankiewicz;ok;brak;ok
wydajnosc-w-jezyku-java;michal-podbielski;ok;ok;ok
wykorzystanie-baz-bdot10k-i-innych-zasobow-codgik;rafal-smyk, barbara-wawrzyniak, tomasz-gorka, marcin-lis, monika-wojdynska, magdalena-piechocka;brak;brak;brak
wykrywanie-i-unikanie-podatnosci-w-aplikacjach-natywnych;sebastian-chmielewski;brak;brak;brak
wystapienia-publiczne-dla-specjalistow-it;adam-matlacz;brak;brak;brak
wytwarzanie-i-dostarczanie-oprogramowania-w-kulturze-devops-azure;kamil-mrzyglod;ok;ok;ok
wzorce-i-dobre-praktyki-na-platformie-java;michal-podbielski;ok;ok;ok
wzorce-projektowe-i-architektoniczne-architektura-aplikacji-dla-projektantow;michal-podbielski;ok;brak;brak
wzorce-projektowe-i-refaktoryzacja-w-jezyku-java;michal-podbielski;ok;ok;ok
wzorce-projektowe-w-c-sharp;marcin-samsonowski;brak;brak;brak
wzorce-projektowe-w-jezyku-c-plus-plus;tomasz-jasiukiewicz;brak;brak;brak
wzorce-projektowe-w-jezyku-python;matt-harasymczuk;ok;ok;ok
xp-code-review-i-dobre-praktyki-inzynieryjne;mateusz-harasymczuk;ok;ok;brak
zaawansowana-administracja-systemem-linux;piotr-nazimek;ok;brak;ok
zaawansowane-modele-raportowe-w-power-bi;hubert-kobierzewski;brak;brak;brak
zaawansowane-programowanie-w-jezyku-c;piotr-nazimek;brak;brak;ok
zaawansowane-programowanie-w-jezyku-cpp;tomasz-jasiukiewicz;brak;brak;brak
zaawansowane-programowanie-w-jezyku-java;michal-podbielski;ok;ok;ok
zaawansowane-programowanie-w-jezyku-python;matt-harasymczuk;ok;ok;ok
zaawansowane-programowanie-w-r;pawel-jamer;brak;brak;brak
zaawansowane-ruby-i-ruby-on-rails;piotr-szmielew;brak;brak;brak
zaawansowane-style-css-i-preprocesory-w-praktyce;krzysztof-scira;ok;ok;ok
zaawansowane-tworzenie-aplikacji-z-uzyciem-angular;tomasz-sulkowski;ok;brak;brak
zaawansowane-utrwalanie-danych-z-uzyciem-jpa-i-hibernate;lukasz-andrzejewski;brak;brak;brak
zaawansowany-html;krzysztof-scira;ok;ok;ok
zaawansowany-spring-framework;lukasz-andrzejewski;ok;ok;ok
zabezpieczenie-transmisji-danych-w-sieci;krzysztof-cabaj;brak;brak;brak
zalecenia-cert-dla-jezyka-c-plus-plus-w-praktyce;piotr-nazimek, witold-wysota;ok;brak;ok
zalecenia-cert-dla-jezyka-c-w-praktyce;piotr-nazimek;ok;brak;ok
zarzadzanie-danymi-przestrzennymi-w-oracle-spatial;michal-srednicki;brak;brak;brak
zarzadzanie-jakoscia-w-projektach-it;pawel-zarzycki;brak;brak;brak
zarzadzanie-konfliktem;agata-fijewska, malgorzata-wojdowska;brak;brak;brak
zarzadzanie-portfelem-inicjatyw-biznesowych-holistyczne-spojrzenie-na-zmiany-w-it;martin-daliga;brak;brak;brak
zarzadzanie-projektami-it;lukasz-losin;brak;brak;brak
zarzadzanie-projektami-wg-metody-lancucha-krytycznego-ccpm;jacek-bigaj;brak;brak;brak
zarzadzanie-projektami-zgodnie-z-scrum;jacek-bigaj;brak;brak;brak
zarzadzanie-ryzykiem;jacek-bigaj;brak;brak;brak
zarzadzanie-wymaganiami;tomasz-jasiukiewicz;brak;brak;brak
zarzadzanie-zmiana-i-procesami-w-organizacji;lukasz-losin;brak;brak;brak
zautomatyzowane-testy-uslug-sieciowych-z-uzyciem-soapui;sebastian-chmielewski;brak;brak;brak
zend-framework-2;mateusz-juscinski;brak;brak;brak
